,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Overall_rating,0.6403457409515178,-0.041014775023511106,0.04587622253363819,-0.001020379947128935,0.23316827950944458,0.25111665612509876,0.002092647895949624,0.0007072345661086301,-0.12035507656778606,0.09404872331881885
Location_rating,0.050584639019835134,-0.013374519111909346,-0.018294704612448053,0.19699416129069333,-0.07223592026226816,0.8138848174008831,-0.10431261001377742,-0.002367361164643061,-0.011218413244927488,0.04198723221866106
Cleanliness_rating,0.8260339263421999,0.04434504692296568,-0.06297298393049582,-0.03656969387330373,-0.10290614712502885,-0.014205806308442887,-0.10764516366361827,0.12128879348069033,-0.03828596103776283,0.16149521297080469
Rooms_rating,1.1592479758715568,0.0035450686138400996,0.11325944149302902,-0.03799359369852164,-0.1475134456993833,-0.17574375535582654,0.027888071827845785,-0.05813559710119609,0.047900898180278394,-0.13307753984670542
Service_rating,0.024739334202041163,-0.03290499541947939,0.025246443672843785,-0.04604075299598622,1.0562393764504925,-0.08807875451677115,-0.10948918280135367,0.05513285927603686,0.13267654693801645,0.017692260588782354
Sleepquality_rating,0.7332366706628424,0.02931658767085649,0.03596352114165942,0.003898590337577568,0.02607257238483895,0.09705486671584412,0.05422295539290439,-0.02928211765110589,0.10558915710873804,0.5864257115666807
Value_rating,0.5051500117108655,-0.07347890304117959,-0.13328729307859388,0.03941249053776039,0.17954654524608127,0.32977581392509997,0.08362825355457648,-0.11849551369340434,0.07822941050402087,-0.08236198532860031
Hotel.stars,0.003345602478295459,0.0277551347945069,1.0752353302053208,0.2167737880426927,0.13048359977313445,-0.1624086472604945,0.007739505606938105,-0.17516996508161523,-0.07010301423008215,0.028615455672419573
Hotel.price,0.043398746430276476,-0.04169650882417054,0.5326788369898933,-0.1306800716606441,-0.08563779293343253,0.10827809128250229,-0.0046947763210460495,0.1653349522146967,0.029053643319033016,-0.009118758473120058
Hotel.distance,0.06316494063445585,-0.01168054324478502,-0.1300870636319222,0.24749882527869893,-0.0231197904396681,-0.23256357640479927,0.7097008383090622,-0.011240769060890722,0.00544387807410266,0.016078273485222803
Hotel.noofrooms,-0.07798128107420906,-0.06198312114392367,0.15617340494686638,-0.0489293169207092,-0.10958821556139728,0.02818499115681189,0.654122098786458,0.09929890870939682,0.1648610950198932,0.027100416973153556
Destination_country_GDP,-0.030916302440874836,0.6209608866552563,-0.07396113874349518,0.07642808767875209,0.02261796345058278,-0.030453692578096207,0.10206400606593932,0.6258459260506568,-0.04525500523041162,0.01658754528348833
Destination_country_pdi,-0.11001679188040857,-0.8260258862965871,-0.013711826820244664,0.09734632811346686,-0.03812491309063971,0.1578006305016308,-0.04033378140650361,-0.12567925082877973,0.11983202722064497,-0.06154322991051795
Destination_country_idv,-0.08865622361236804,0.889793508200507,0.02330354561290028,0.06964001523319781,-0.11377709703043001,0.18537764946261384,-0.1675940371636904,0.07867783157945298,0.23267688351929583,-0.061486951143188036
Destination_country_mas,0.02175183776191277,0.03128330763177972,-0.02031714217472849,-0.033305434644742525,0.09712174203477915,-0.021435673918199488,0.08277152966535925,-0.028029230454062918,0.7042444561197232,0.04203481740500017
Destination_country_uai,0.032043376719217476,-0.0972356122582125,-0.022383586436516754,0.13618831646876284,-0.04249446446415082,-0.1881467248722312,-0.29590857504951257,-0.0056323200712855995,0.09284989047472865,0.023050666832700774
Destination_country_lto,0.04436081888918895,0.10335256450890985,0.06750626973566096,0.8164854663093337,0.11384598552387015,0.0742188941858708,0.023378050708035426,0.4253550405115474,-0.021201336211308864,-0.0661902723981455
Destination_country_ivr,0.08403427696725436,0.0722649992504169,-0.006814146914845561,-0.8011862649649518,0.13352547974577508,-0.2097547288892772,-0.09331357036986739,0.20675768709394354,0.022195122626648328,-0.057437449720395814
