Destination_country_name,Overall_rating,Location_rating,Cleanliness_rating,Rooms_rating,Service_rating,Sleepquality_rating,Value_rating,Hotel.stars,Hotel.price,Hotel.distance,Hotel.noofrooms,Destination_country_GDP,Destination_country_pdi,Destination_country_idv,Destination_country_mas,Destination_country_uai,Destination_country_lto,Destination_country_ivr
Albania,5,5,5,5,5,5,5,4,67,1.29,56,4460.3,90,20,80,70,61,15
Angola,4,4,4,4,5,4,4,4,406,2.41,140,5783.4,83,18,20,60,15,83
Argentina,4,5,5,4,3,3,5,3,71,2.41,147,14715.2,49,46,56,86,20,62
Australia,5,5,5,5,5,5,5,4.5,158,,286,67463,36,90,61,51,21,71
Austria,4,3,5,5,4,5,3,4,125,3.54,155,50510.7,11,55,79,70,60,63
Bangladesh,5,5,5,5,5,5,5,3.5,215,8.85,60,957.8,80,20,55,60,47,20
Belgium,5,5,5,5,5,4,5,3,230,1.29,64,46929.6,65,75,54,94,82,57
Brazil,4,3,4,4,3,4,3,3.5,130,5.31,358,11208.1,69,38,49,76,44,59
Bulgaria,4,4,4,4,5,5,5,4,85,6.44,178,7498.8,70,30,40,85,69,16
Burkina Faso,3,3,3,3,4,3,4,4,134,4.02,170,760.9,70,15,50,55,27,18
Canada,5,4,5,5,5,,5,3,160,1.13,197,51964.3,39,80,52,48,36,68
Cape Verde,3,2,4,4,4,3,3,4,113,,123,3767.1,75,20,15,40,12,83
Chile,2,3,4,,1,2,2,4.5,318,5.15,196,15732.3,63,23,28,86,31,68
China,5,5,5,5,5,5,5,4,71,4.35,430,6807.4,80,20,66,30,87,24
Colombia,3,4,5,4,5,3,5,2.5,95,3.06,21,7831.2,67,13,64,80,13,83
Croatia,4,4,5,4,4,4,4,3,64,2.09,25,13597.9,73,33,40,80,58,33
Czech Republic,5,5,5,5,5,5,5,4,149,1.29,33,19858.3,57,58,57,74,70,29
Denmark,5,5,5,4,4,4,5,3,124,1.13,81,59818.6,18,74,16,23,35,70
Dominican Republic,4,4,4,4,3,4,4,4,158,2.25,286,5879,65,30,65,45,13,54
Egypt,3,2,3,3,3,3,4,5,151,8.05,409,3314.5,70,25,45,80,7,4
El Salvador,5,5,5,,5,5,4,4,194,0.32,228,3826.1,66,19,40,94,20,89
Estonia,5,5,5,5,5,4,5,5,167,0.32,86,18877.3,40,60,30,60,82,16
Finland,4,4,5,5,4,5,4,4,125,,106,49150.6,33,63,26,59,38,57
France,4,4,4,4,4,4,4,3,181,1.93,37,42560.4,68,71,43,86,63,48
Germany,3,3,4,3,4,4,3,5,188,4.83,316,46251.4,35,67,66,65,83,40
Ghana,3,4,4,3,1,4,2,5,423,0.16,260,1858.2,80,15,40,65,4,72
Greece,5,5,5,5,5,5,5,2,55,1.93,50,21965.9,60,35,57,100,45,50
Hong Kong,3,4,3,3,3,3,3,4,141,25.27,1171,38123.5,68,25,57,29,61,17
Hungary,5,5,5,5,5,5,5,4,76,1.45,74,13485.5,46,80,88,82,58,31
Iceland,4,3,4,4,4,3,4,4,172,2.41,284,47349.5,30,60,10,50,28,67
India,5,4,5,4,5,4,4,3.5,91,14.97,17,1497.5,77,48,56,40,51,26
Indonesia,4,5,4,4,5,4,5,3.5,48,20.44,386,3475.3,78,14,46,48,62,38
Iran,1,4,1,1,1,1,1,5,,8.53,550,4763.3,58,41,43,59,14,40
Iraq,3,3,3,3,3,3,3,5,335,,449,6862.5,95,30,70,85,25,17
Ireland,4,5,5,5,5,4,5,3,99,0.48,131,50478.4,28,70,68,35,24,65
Italy,3,5,4,3,3,4,4,3,167,3.38,9,35685.6,50,76,70,75,61,30
Japan,4,4,5,4,5,5,3,5,391,6.12,177,38633.7,54,46,95,92,88,42
Jordan,4,3,3,4,4,4,4,4,136,7.4,96,5213.4,70,30,45,65,16,43
Latvia,3,4,4,3,3,3,3,4,77,0.16,72,15381.1,44,70,9,63,69,13
Lebanon,5,5,5,5,5,5,5,4,206,1.13,73,9928,75,40,65,50,14,25
Libya,4,5,5,5,3,5,3,5,245,3.7,90,11964.7,80,38,52,68,23,34
Lithuania,3,5,1,1,5,1,3,5,170,1.77,119,15529.7,42,60,19,65,82,16
Luxembourg,4,4,4,3,5,3,3,3,138,,39,110664.8,40,60,50,70,64,56
Malaysia,4,5,3,3,4,4,4,4.5,72,1.61,505,10538.1,100,26,50,36,41,57
Malta,5,5,5,5,5,5,5,5,205,0,136,22775,56,59,47,96,47,66
Mexico,4,4,5,5,4,5,4,3,140,0.32,108,10307.3,81,30,69,82,24,97
Morocco,1,4,4,2,2,3,1,3,95,1.29,77,3092.6,70,46,53,68,14,25
Mozambique,4,5,4,4,4,4,3,5,417,1.45,142,605,85,15,38,44,11,80
Netherlands,4,5,5,4,4,3,4,5,267,0.97,405,50792.5,38,80,14,53,67,68
New Zealand,5,5,5,5,5,5,5,5,181,0.8,139,41824.3,22,79,58,49,33,75
Nigeria,4,4,3,2,4,4,3,4,346,0,575,3005.5,80,30,60,55,13,84
Norway,4,5,4,2,4,4,2,5,174,0.64,292,100898.4,31,69,8,50,35,55
Pakistan,5,5,5,5,5,5,5,5,266,11.75,387,1275.3,55,14,50,70,50,0
Peru,3,4,4,3,4,3,3,4,150,2.57,252,6661.6,64,16,42,87,25,46
Philippines,4,4,4,4,4,3,5,3,55,1.93,142,2765.1,94,32,64,44,27,42
Poland,4,5,5,4,5,5,5,4,112,0,733,13653.7,68,60,64,93,38,29
Portugal,5,4,5,4,5,4,4,2,62,2.25,116,21738.3,63,27,31,99,28,33
Romania,5,5,5,5,5,5,5,3,108,0.64,16,9490.8,90,30,42,90,52,20
Russia,3,2,5,5,2,4,3,5,161,3.06,273,14611.7,93,39,36,95,81,20
Saudi Arabia,1,3,3,1,3,2,2,5,238,4.35,418,25961.8,95,25,60,80,36,52
Serbia,3,5,3,4,3,3,4,4,62,1.13,84,6353.8,86,25,43,92,52,28
Singapore,5,5,5,4,5,5,5,4,233,0.8,403,55182.5,74,20,48,8,72,46
Slovakia,4,5,4,4,5,4,4,4,152,0.97,168,18049.2,100,52,100,51,77,28
Slovenia,4,5,5,3,4,4,4,4,191,0.48,194,23295.3,71,27,19,88,49,48
South Africa,4,3,4,4,4,3,3,3,63,4.18,104,6886.3,49,65,63,49,34,63
South Korea,4,4,4,4,4,5,5,4,155,6.6,284,25977,60,18,39,85,100,29
Spain,3,4,2,3,3,3,3,4,81,11.1,86,29882.1,57,51,42,86,48,44
Sweden,5,5,4,4,5,4,4,4.5,279,0.97,152,60380.9,31,71,5,29,53,78
Switzerland,5,5,5,4,5,5,4,5,421,0.16,128,84748.4,34,68,70,58,74,66
Taiwan,5,4,5,5,5,5,4,5,266,3.54,420,,58,17,45,69,93,49
